Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,Geekbench_Single,Geekbench_Multi
Intel® Core™ X-series Processors,Desktop,i9-7960X,Announced,17348.0,,,16.0,32.0,2.8,4.2,22 MB,8 GT/s DMI3,165.0,No,Yes,128 GB,DDR4-2666,4,,No,,,,,,,,,,,,3,,44,98°C,Yes,Yes,Yes,,"SSE4.1/4.2, AVX 2.0, AVX-512",,,,Yes,1028.4,13861.6
Intel® Core™ X-series Processors,Desktop,i9-7980XE,Announced,17348.0,,,18.0,36.0,2.6,4.2,24.75 MB,8 GT/s DMI3,165.0,No,Yes,128 GB,DDR4-2666,4,,No,,,,,,,,,,,,3,,44,94°C,Yes,Yes,Yes,,"SSE4.1/4.2, AVX 2.0, AVX-512",,,,Yes,1133.4,15129.8
8th Generation Intel® Core™ i7 Processors,Mobile,i7-8650U,Launched,17348.0,14.0,409.0,4.0,8.0,1.9,4.2,8 MB SmartCache,4 GT/s OPI,15.0,No,Yes,32 GB,"DDR4-2400, LPDDR3-2133",2,34.1 GB/s,No,,300 MHz,1.15 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,891.6,3311.2
8th Generation Intel® Core™ i5 Processors,Mobile,i5-8350U,Launched,17348.0,14.0,297.0,4.0,8.0,1.7,3.6,6 MB SmartCache,4 GT/s OPI,15.0,No,Yes,32 GB,"DDR4-2400, LPDDR3-2133",2,34.1 GB/s,No,,300 MHz,1.10 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,712.2,2672.0
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7500U,Launched,16983.0,14.0,393.0,2.0,4.0,2.7,3.5,4 MB SmartCache,4 GT/s OPI,15.0,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.05 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,579.2,1330.8
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7560U,Launched,17167.0,14.0,415.0,2.0,4.0,2.4,3.8,4 MB,,15.0,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.05 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz ,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,637.8,1337.6
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7567U,Launched,17167.0,14.0,,2.0,4.0,3.5,4.0,4 MB,4 GT/s OPI,28.0,No,Yes,32 GB,"DDR4-2133, LPDDR3 - 1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.15 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz ,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,976.6,2292.4
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7600U,Launched,17167.0,14.0,393.0,2.0,4.0,2.8,3.9,4 MB SmartCache,4 GT/s OPI,15.0,Yes,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.15 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,689.0,1608.8
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7660U,Launched,17167.0,14.0,415.0,2.0,4.0,2.5,4.0,4 MB,4 GT/s OPI,15.0,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.10 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz ,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,947.2,2091.0
7th Generation Intel® Core™ i7 Processors,Desktop,i7-7700T,Launched,17167.0,14.0,303.0,4.0,8.0,2.9,3.8,8 MB SmartCache,8 GT/s DMI3,35.0,Yes,Yes,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,,No,,350 MHz,1.15 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,80°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,874.4,3140.0
7th Generation Intel® Core™ i7 Processors,Desktop,i7-7700K,Launched,17167.0,14.0,339.0,4.0,8.0,4.2,4.5,8 MB SmartCache,8 GT/s DMI3,91.0,No,Yes,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,,No,,350 MHz,1.15 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,1177.6,4697.6
7th Generation Intel® Core™ i7 Processors,Desktop,i7-7700,Launched,17167.0,14.0,303.0,4.0,8.0,3.6,4.2,8 MB SmartCache,8 GT/s DMI3,65.0,Yes,Yes,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,,No,,350 MHz,1.15 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,1040.4,4198.8
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7700HQ,Launched,17167.0,14.0,378.0,4.0,8.0,2.8,3.8,6 MB,8 GT/s DMI3,45.0,No,Yes,64 GB,"DDR4-2400, LPDDR3-2133, DDR3L-1600",2,34.1 GB/s,No,,350 MHz,1.10 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,882.8,3462.6
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7820HK,Launched,17167.0,14.0,378.0,4.0,8.0,2.9,3.9,8 MB,8 GT/s DMI3,45.0,No,Yes,64 GB,"DDR4-2400, LPDDR3-2133, DDR3L-1600",2,34.1 GB/s,No,,350 MHz,1.10 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,1086.2,3946.4
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7820HQ,Launched,17167.0,14.0,378.0,4.0,8.0,2.9,3.9,8 MB,,45.0,No,Yes,64 GB,"DDR4-2400, LPDDR3-2133, DDR3L-1600",2,34.1 GB/s,No,,350 MHz,1.10 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,804.2,2986.6
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7920HQ,Launched,17167.0,14.0,568.0,4.0,8.0,3.1,4.1,8 MB,8 GT/s DMI3,45.0,No,Yes,64 GB,"DDR4-2400, LPDDR3-2133, DDR3L-1600",2,34.1 GB/s,No,,350 MHz,1.10 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz,4096x2304@60Hz,,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,921.8,3510.0
Intel® Atom™ Processor X Series,Mobile,x7-Z8750,Launched,16801.0,14.0,37.0,4.0,4.0,1.6,,2 MB,,,No,Yes,8 GB,LPDDR3 1600,2,25.6 GB/s,,,200 MHz,600 MHz,8 GB,,,3840x2160,,2560x1600,,,2,"2x1, 1x2",2,90°C,,Yes,Yes,64.0,,,,,,232.4,825.2
Intel® Atom™ Processor N Series,Mobile,N2600,Launched,15248.0,32.0,42.0,2.0,4.0,1.6,,1 MB L2,2.5 GT/s DMI,3.5,Yes,Yes,2.44 GB,DDR3,1,,,,400 MHz,,,,,,,,,,,,,,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,74.0,205.6
Intel® Atom™ Processor D Series,Desktop,D2500,End of Interactive Support,15156.0,32.0,42.0,2.0,2.0,1.86,,1 MB L2,2.5 GT/s DMI,10.0,No,Yes,4 GB,DDR3 800/1066 ,1,6.4 GB/s,No,,400 MHz,,,,,,,,,,,,4,100 C,No,No,Yes,64.0,"SSE2, SSE3, SSSE3",,,,Yes,110.2,208.4
Intel® Atom™ Processor D Series,Desktop,D2550,End of Interactive Support,15340.0,32.0,47.0,2.0,4.0,1.86,,1 MB L2,,10.0,Yes,Yes,4 GB,DDR3 800/1066 ,1,6.4 GB/s,No,,640 MHz,,,,,,,,,,,,4,100 C,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,,,,105.4,293.2
Intel® Atom™ Processor D Series,Desktop,D2700,End of Interactive Support,15156.0,32.0,,2.0,4.0,2.13,,1 MB L2,2.5 GT/s DMI,10.0,No,,4 GB,DDR3 800/1066 ,1,6.4 GB/s,No,,640 MHz,,,,,,,,,,,,4,100 C,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,,,Yes,111.6,276.4
Intel® Atom™ Processor N Series,Mobile,N2800,Launched,15248.0,32.0,47.0,2.0,4.0,1.86,,1 MB L2,2.5 GT/s DMI,6.5,Yes,Yes,4.88 GB,DDR3,1,,,,640 MHz,,,,,,,,,,,,,,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,98.0,271.6
Intel® Atom™ Processor X Series,Mobile,x5-Z8300,Launched,16526.0,14.0,21.0,4.0,4.0,1.44,,2 MB,,,No,Yes,2 GB,DDR3L-RS 1600,1,12.8 GB/s,,,200 MHz,,2 GB,,,1920x1080,,,,,2,1x1,1,90°C,,Yes,Yes,64.0,,,,,,169.6,539.0
Intel® Atom™ Processor X Series,Mobile,x5-Z8330,Launched,16801.0,14.0,,4.0,4.0,1.44,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1600,1,12.8 GB/s,,,200 MHz,,,,,,,,,,2,1X1,1,90°C ,,,Yes,64.0,,,,,,192.4,615.4
Intel® Atom™ Processor X Series,Mobile,x5-Z8350,Launched,16801.0,14.0,21.0,4.0,4.0,1.44,,2 MB,,,No,Yes,2 GB,DDR3L-RS 1600,1,12.8 GB/s,,,200 MHz,500 MHz,2 GB,,,1920x1080,,,,,2,1x1,1,90°C,,Yes,Yes,64.0,,,,,,177.0,519.6
Intel® Atom™ Processor X Series,Mobile,x5-Z8500,Launched,16436.0,14.0,27.0,4.0,4.0,1.44,,2 MB,,,No,Yes,8 GB,LPDDR3 1600,2,25.6 GB/s,,,200 MHz,,8 GB,,,3840x2160,,2560x1600,,,2,"2x1, 1x2",2,90°C,,Yes,Yes,64.0,,,,,,448.2,1287.2
Intel® Atom™ Processor X Series,Mobile,x5-Z8550,Launched,16801.0,14.0,27.0,4.0,4.0,1.44,,2 MB,,,No,Yes,8 GB,LPDDR3 1600,2,25.6 GB/s,,,200 MHz,600 MHz,8 GB,,,3840x2160,,2560x1600,,,2,"2x1, 1x2",2,90°C,,Yes,Yes,64.0,,,,,,222.6,736.0
Intel® Atom™ Processor X Series,Mobile,x7-Z8700,Launched,16436.0,14.0,37.0,4.0,4.0,1.6,,2 MB,,,No,Yes,8 GB,LPDDR3 1600,2,25.6 GB/s,,,200 MHz,,8 GB,,,3840x2160,,2560x1600,,,2,"2x1, 1x2",2,90°C,,Yes,Yes,64.0,,,,,,229.2,780.4
Intel® Atom™ Processor Z Series,Mobile,Z2480,End of Interactive Support,15522.0,32.0,,1.0,2.0,,,512 KB SmartCache,,,No,,2 GB,LPDDR2 800,2,6.4 GB/s,,,400 MHz,,,HDMI,,,,,,,,,,90,Yes,,,32.0,"SSE, SSE2, SSE3",Yes,Yes,,Yes,94.0,93.0
Intel® Atom™ Processor Z Series,Mobile,Z2520,End of Interactive Support,15796.0,32.0,,2.0,4.0,1.2,,1 MB SmartCache,,,No,Yes,2 GB,LPDDR2 1066,2,8.5 GB/s,,,300 MHz,,,,,,,,,,,,,90°C,Yes,Yes,,32.0,"SSE2, SSE3, SSSE3",Yes,Yes,,,59.0,174.0
Intel® Atom™ Processor Z Series,Mobile,Z2560,End of Interactive Support,15796.0,32.0,,2.0,4.0,,,1 MB SmartCache,,,No,Yes,2 GB,LPDDR2 1066,2,8.5 GB/s,,,400 MHz,,,,,,,,,,,,,90°C,Yes,Yes,,32.0,"SSE2, SSE3, SSSE3",Yes,Yes,,,77.6,149.8
Intel® Atom™ Processor Z Series,Mobile,Z3560,Launched,16161.0,22.0,,4.0,4.0,,,2 MB,,,No,Yes,4 GB,LPDDR3 1600,2,12.8 GB/s,,,457 MHz,,,MIPI-DSI,,,,,,,,,,90°C,,Yes,Yes,64.0,"SSE4.1/4.2, SSSE3, SSE3, SSE2, AES-NI",Yes,Yes,Yes,Yes,143.8,486.2
Intel® Atom™ Processor Z Series,Mobile,Z3580,Launched,16161.0,22.0,,4.0,4.0,,,2 MB,,,No,Yes,4 GB,LPDDR3 1600,2,12.8 GB/s,,,457 MHz,,,MIPI-DSI,,,,,,,,,,90°C,,Yes,Yes,64.0,"SSE4.1/4.2, SSSE3, SSE3, SSE2, AES-NI",Yes,Yes,Yes,Yes,159.6,451.8
Intel® Atom™ Processor Z Series,Mobile,Z3735D,Launched,16071.0,22.0,,4.0,4.0,1.33,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64.0,,,,,,150.0,490.0
Intel® Atom™ Processor Z Series,Mobile,Z3735F,Launched,16071.0,22.0,18.0,4.0,4.0,1.33,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64.0,,,,,,168.2,508.2
Intel® Atom™ Processor Z Series,Mobile,Z3735G,Launched,16071.0,22.0,17.0,4.0,4.0,1.33,,2 MB L2,,,No,Yes,1 GB,DDR3L-RS 1333,1,5.3 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64.0,,,,,,182.0,527.6
Intel® Atom™ Processor Z Series,Mobile,Z3736F,Launched,16161.0,22.0,20.0,4.0,4.0,1.33,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,,,313 MHz,,,,,,,,,,,,,,,Yes,Yes,64.0,,,,,,212.2,577.4
Intel® Atom™ Processor Z Series,Mobile,Z3740,End of Interactive Support,15887.0,22.0,,4.0,4.0,1.33,,2 MB L2,,,No,Yes,4 GB,LPDDR3 1066,2,17.1 GB/s,No,,311 MHz,,,,,,,,,,,,,90°C ,,Yes,Yes,64.0,,,,Yes,,183.4,667.0
Intel® Atom™ Processor Z Series,Mobile,Z3740D,End of Interactive Support,15887.0,22.0,,4.0,4.0,1.33,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,No,,313 MHz,,,,,,,,,,,,,90°C ,,Yes,Yes,64.0,,,,Yes,,103.4,584.0
Intel® Atom™ Processor Z Series,Mobile,Z3745,Launched,16071.0,22.0,30.0,4.0,4.0,1.33,,2 MB L2,,,No,Yes,4 GB,LPDDR3 1066,2,17.1 GB/s,No,,311 MHz,,,,,,,,,,,,,90°C,,Yes,Yes,64.0,,,,,,176.8,595.2
Intel® Atom™ Processor Z Series,Mobile,Z3745D,Launched,16071.0,22.0,,4.0,4.0,1.33,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64.0,,,,,,185.0,623.0
Intel® Atom™ Processor Z Series,Mobile,Z3770,End of Interactive Support,15887.0,22.0,,4.0,4.0,1.46,,2 MB L2,,,No,Yes,4 GB,LPDDR3 1066,2,17.1 GB/s,No,,311 MHz,,,,,,,,,,,,,90°C ,,Yes,Yes,64.0,,,,Yes,,218.6,664.8
Intel® Atom™ Processor Z Series,Mobile,Z3775,Launched,16071.0,22.0,35.0,4.0,4.0,1.46,,2 MB L2,,,No,Yes,4 GB,LPDDR3 1066,2,17.1 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64.0,,,,,,229.8,791.6
Intel® Atom™ Processor Z Series,Mobile,Z3795,Launched,16071.0,22.0,40.0,4.0,4.0,1.59,,2 MB L2,,,No,Yes,4 GB,LPDDR3 1066,2,17.1 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64.0,,,,,,207.2,671.2
Legacy Intel Atom® Processors,Mobile,Z600,End of Interactive Support,14700.0,45.0,,1.0,2.0,1.2,,512 KB SmartCache,400 MHz DMI,1.3,No,,1 GB,LPDDR1 400,1,1.6 GB/s,,,200 MHz,,256 MB,"MIPI, LVDS",,,,,,,None,No,0,-25°C to +90°C,Yes,No,No,32.0,"SSE, SSE2, SSE3, SSSE3, MMX",Yes,Yes,,Yes,507.0,3797.0
Legacy Intel Atom® Processors,Mobile,N450,End of Interactive Support,14610.0,45.0,64.0,1.0,2.0,1.66,,512 KB L2,2.5 GT/s DMI,5.5,Yes,Yes,2 GB,DDR2 667,1,,,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,83.8,134.0
Legacy Intel Atom® Processors,Mobile,N455,End of Interactive Support,14700.0,45.0,64.0,1.0,2.0,1.66,,512 KB L2,2.5 GT/s DMI,6.5,Yes,Yes,2 GB,DDR2/3,1,,,,200 MHz,,,,,,,,,,,,,100°C ,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,76.4,119.8
Legacy Intel Atom® Processors,Desktop,D410,End of Interactive Support,14610.0,45.0,43.0,1.0,2.0,1.66,,512 KB L2,2.5 GT/s DMI,10.0,Yes,Yes,4 GB,DDR2 667/800,1,6.4 GB/s,No,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",No,No,,Yes,71.4,102.8
Legacy Intel Atom® Processors,Desktop,D510,End of Interactive Support,14610.0,45.0,63.0,2.0,4.0,1.66,,1 MB L2,2.5 GT/s DMI,13.0,Yes,Yes,4 GB,DDR2 667/800,1,6.4 GB/s,No,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",No,No,,Yes,95.6,255.4
Legacy Intel Atom® Processors,Mobile,N550,End of Interactive Support,14791.0,45.0,,2.0,4.0,1.5,,1 MB L2,2.5 GT/s DMI,8.5,No,Yes,2 GB,DDR3,1,,,,200 MHz,,,,,,,,,,,,,,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,73.4,209.4
Legacy Intel Atom® Processors,Mobile,N470,End of Interactive Support,14610.0,45.0,,1.0,2.0,1.83,,512 KB L2,2.5 GT/s DMI,6.5,No,Yes,2 GB,DDR2 667,1,,,,200 MHz,,,,,,,,,,,,,100°C ,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,96.8,149.6
Legacy Intel Atom® Processors,Mobile,N270,End of Interactive Support,13970.0,45.0,32.0,1.0,,1.6,,512 KB L2,533 MHz FSB,2.5,Yes,Yes,,,,,,,,,,,,,,,,,,,,90°C,Yes,No,No,32.0,"SSE2, SSE3, SSSE4",No,Yes,,Yes,72.6,110.4
Legacy Intel Atom® Processors,Mobile,N570,Launched,14975.0,45.0,,2.0,4.0,1.66,,1 MB L2,2.5 GT/s DMI,8.5,No,Yes,2 GB,DDR3,1,,,,200 MHz,,,,,,,,,,,,,,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,86.6,235.8
Legacy Intel Atom® Processors,Mobile,N475,End of Interactive Support,14700.0,45.0,,1.0,2.0,1.83,,512 KB L2,2.5 GT/s DMI,6.5,No,Yes,2 GB,DDR2/3,1,,,,200 MHz,,,,,,,,,,,,,100°C,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,80.0,119.0
Legacy Intel Atom® Processors,Desktop,D525,End of Interactive Support,14700.0,45.0,63.0,2.0,4.0,1.8,,1 MB L2,2.5 GT/s DMI,13.0,Yes,Yes,4 GB,DDR3 800 (SODIMM only); DDR2 667/800,1,6.4 GB/s,No,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",No,No,,Yes,105.0,288.4
Legacy Intel Atom® Processors,Desktop,D425,End of Interactive Support,14700.0,45.0,42.0,1.0,2.0,1.8,,512 KB L2,2.5 GT/s DMI,10.0,Yes,Yes,4 GB,DDR3 800 (SODIMM only); DDR2 667/800,1,6.4 GB/s,No,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64.0,"SSE2, SSE3, SSSE3",No,No,,Yes,93.6,136.2
Legacy Intel Atom® Processors,Mobile,N280,End of Interactive Support,14245.0,45.0,,1.0,,1.66,,512 KB L2,667 MHz FSB,2.5,No,,,,,,,,,,,,,,,,,,,,,90°C,Yes,No,No,32.0,"SSE2, SSE3, SSSE3",,Yes,,Yes,76.0,109.0
Intel® Celeron® Processor 1000 Series,Mobile,1000M,Launched,15706.0,22.0,75.0,2.0,2.0,1.8,,2 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600	,2,25.6 GB/s,No,,650 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,341.0,658.0
Intel® Pentium® Processor G Series,Desktop,G2010,End of Life,15706.0,22.0,64.0,2.0,2.0,2.8,,3 MB SmartCache,5 GT/s DMI,55.0,No,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,552.0,1046.8
Legacy Intel® Core™ Processors,Mobile,i7-2960XM,Launched,15248.0,32.0,,4.0,8.0,2.7,3.7,8 MB SmartCache,5 GT/s DMI,55.0,No,Yes,32 GB,DDR3 1066/1333/1600,2,25.6 GB/s,No,,650 MHz,1.30 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,100 C,Yes,Yes,Yes,64.0,AVX,Yes,Yes,,Yes,610.6,2033.0
4th Generation Intel® Core™ i3 Processors,Mobile,i3-4030Y,Launched,16161.0,22.0,281.0,2.0,4.0,1.6,,3 MB SmartCache,5 GT/s DMI2,11.5,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,850 MHz,2 GB,eDP/DP/HDMI,,2560x1600@60Hz,2561x1600@60Hz,,11.2/12,,2,"4x1, 2x4",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,364.0,693.0
4th Generation Intel® Core™ i5 Processors,Desktop,i5-4670,End of Life,15796.0,22.0,213.0,4.0,4.0,3.4,3.8,6 MB SmartCache,5 GT/s DMI2,84.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,No,,350 MHz,1.20 GHz,2 GB,eDP/DP/HDMI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.2/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72.72°C,No,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,707.0,2125.6
4th Generation Intel® Core™ i7 Processors,Mobile,i7-4578U,Launched,16252.0,22.0,426.0,2.0,4.0,3.0,3.5,4 MB,5 GT/s DMI2,28.0,No,Yes,16 GB,"DDR3L-1333, 1600;
LPDDR3-1333, 1600",2,25.6 GB/s,No,,200 MHz,1.20 GHz,2 GB,eDP/DP/HDMI/VGA ,,3200x2000@60Hz,3200x2000@60Hz,,11.2/12,,2,"4x1, 2x4",12,100 C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,725.8,1487.2
5th Generation Intel® Core™ M Processors,Mobile,5Y10,Launched,16252.0,14.0,,2.0,4.0,0.8,2.0,4 MB,,4.5,No,Yes,16 GB,LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600,2,25.6 GB/s,No,,100 MHz,800 MHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,2560x1600@60Hz,,11.2/12,,2,"x1 (6), x2 (4), x4 (3)",12,95 C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,410.2,851.8
